Parameter Long Name,Vertical Level,Parameter Short Name,Units,1st Version Available,Analysis or Forcast,Notes
Hourly Minimum of Updraft Helicity,5000_2000m_above_ground,MNUPHL_1hr_min_fcst,m2/s2,V3,fcst,
Geopotential Height,500mb,HGT,gpm,V3,both,
Temperature,500mb,TMP,K,V3,both,
Dew Point Temperature,500mb,DPT,K,V3,both,
U-Component of Wind,500mb,UGRD,m/s,V3,both,
V-Component of Wind,500mb,VGRD,m/s,V3,both,
Geopotential Height,700mb,HGT,gpm,V3,both,
Temperature,700mb,TMP,K,V3,both,
Dew Point Temperature,700mb,DPT,K,V3,both,
Vertical Velocity,700mb,DZDT,m/s,V4,both,
U-Component of Wind,700mb,UGRD,m/s,V3,both,
V-Component of Wind,700mb,VGRD,m/s,V3,both,
U-Component of Wind,80m_above_ground,UGRD,m/s,V3,both,
V-Component of Wind,80m_above_ground,VGRD,m/s,V3,both,
Geopotential Height,850mb,HGT,gpm,V3,both,
Temperature,850mb,TMP,K,V3,both,
Dew Point Temperature,850mb,DPT,K,V3,both,
U-Component of Wind,850mb,UGRD,m/s,V3,both,
V-Component of Wind,850mb,VGRD,m/s,V3,both,
Mass Density,8m_above_ground,MASSDEN,Concentration (kg/m3),V4,both,Near-surface smoke
Convective Available Potential Energy,90_0mb_above_ground,CAPE,J/kg,V3,both,
Convective Inhibition,90_0mb_above_ground,CIN,J/kg,V3,both,
Temperature,925mb,TMP,K,V3,both,
Dew Point Temperature,925mb,DPT,K,V3,both,
U-Component of Wind,925mb,UGRD,m/s,V3,both,
V-Component of Wind,925mb,VGRD,m/s,V3,both,
Total Cloud Cover,boundary_layer_cloud_cover,TCDC,%,V4,both,
Geopotential Height,cloud_base,HGT,gpm,V3,both,
Pressure,cloud_base,PRES,Pa,V3,both,
Geopotential Height,cloud_ceiling,HGT,gpm,V3,both,
Echo Top,cloud_top,RETOP,m,V3,both,
Pressure,cloud_top,PRES,Pa,V3,both,
Geopotential Height,cloud_top,HGT,gpm,V3,both,
Composite Reflectivity,entire_atmosphere,REFC,dB,V3,both,
Vertically Integrated Liquid,entire_atmosphere,VIL,kg/m2,V3,both,
Relative Humidity with Respect to Precipitable Water,entire_atmosphere,RHPW,%,V3,both,
Hail,entire_atmosphere,HAIL_max_fcst,m,V4,anl,
Hail,entire_atmosphere,HAIL_1hr_max_fcst,m,V4,fcst,
Lightning,entire_atmosphere,LTNG,Non-Dim,V3,both,
Total Cloud Cover,entire_atmosphere,TCDC,%,V3,both,
Total Column Integrated Graupel,entire_atmosphere_single_layer,TCOLG_max_fcst,kg/m2,V3,anl,
Total Column Integrated Graupel,entire_atmosphere_single_layer,TCOLG_1hr_max_fcst,kg/m2,V3,fcst,
Precipitable Water,entire_atmosphere_single_layer,PWAT,kg/m2,V3,both,
Aeorosol Optical Thickness,entire_atmosphere_single_layer,AOTK,,V4,both,
Total Column-Integrated Mass Density,entire_atmosphere_single_layer,COLMD,kg/m2,V4,both,Vertically-integrated smoke
Total Column-Integrated Cloud Ice,entire_atmosphere_single_layer,TCOLWold,kg/m2,V4,both,
Height of the Level of Equilibrium Level,equilibrium_level,HGT,gpm,V3,both,
High Cloud Cover,high_cloud_layer,HCDC,%,V3,both,
Height of the highest tropospheric freezing level,highest_tropospheric_freezing_level,HGT,m,V3,both,
Pressure at the highest tropospheric freezing level,highest_tropospheric_freezing_level,PRES,Pa,V3,both,
Relative Humidity at the highest tropospheric freezing level,highest_tropospheric_freezing_level,RH,%,V3,both,
Geopotential Height,level_of_adiabatic_condensation_from_sfc,HGT,gpm,V3,both,
Low Cloud Cover,low_cloud_layer,LCDC,%,V3,both,
Mean Sea Level Pressure,mean_sea_level,MSLMA,Pa,V3,both,
Middle Cloud Cover,middle_cloud_layer,MCDC,%,V3,both,
Height of the Level of Free Convection,no_level,HGT,m,V4,both,
Visibility,surface,VIS,m,V3,both,
Wind Gust,surface,GUST,m/s,V3,both,
Hail,surface,HAIL_max_fcst,m,V4,anl,
Hail,surface,HAIL_1hr_max_fcst,m,V4,fcst,
Pressure,surface,PRES,Pa,V3,both,
Geopotential Height,surface,HGT,gpm,V3,both,
Temperature,surface,TMP,K,V3,both,
Total Snowfall,surface,ASNOW_acc_fcst,m,V3,both,
Total Snowfall,surface,ASNOW_1hr_acc_fcst,m,V3,fcst,
Plant Canopy Surface Water,surface,CNWAT,kg/m2,V3,both,
Cloud Forcing Net Solar Flux,surface,CFNSF,W/m2,V3,both,Fire radiative power
Water Equivalent of Accumulated Snow Depth,surface,WEASD,kg/m2,V3,both,
Water Equivalent of Accumulated Snow Depth UTC Day,surface,WEASD_acc_fcst,kg/m2,V3,both,
Water Equivalent of Accumulated Snow Depth UTC Day,surface,WEASD_1hr_acc_fcst,kg/m2,V3,fcst,
Snow Cover,surface,SNOWC,%,V3,both,
Snow Depth,surface,SNOD,m,V3,both,
Percent Frozen Precipitation,surface,CPOFP,%,V3,both,
Precipitation Rate,surface,PRATE,kg/(m2 s),V3,both,
Total Precipitation UTC day,surface,APCP_acc_fcst,kg/m2,V3,both,
Total Precipitation UTC day,surface,APCP_1hr_acc_fcst,kg/m2,V3,fcst,
Frozen RainUTC day,surface,FROZR_acc_fcst,kg/m2,V3,both,
Frozen RainUTC day,surface,FROZR_1hr_acc_fcst,kg/m2,V3,fcst,
Freezing Rain UTC day,surface,FRZR_acc_fcst,kg/m2,V4,both,
Freezing Rain UTC day,surface,FRZR_1hr_acc_fcst,kg/m2,V4,fcst,
Storm Surface Runoff,surface,SSRUN_acc_fcst,kg/m2,V3,anl,
Storm Surface Runoff,surface,SSRUN_1hr_acc_fcst,kg/m2,V3,fcst,
Baseflow-Groundwater,surface,BGRUN_acc_fcst,kg/m2,V3,anl,
Baseflow-Groundwater,surface,BGRUN_1hr_acc_fcst,kg/m2,V3,fcst,
Categorical Snow,surface,CSNOW,,V3,both,
Categorical Ice Pellets,surface,CICEP,,V3,both,
Categorical Freezing Rain,surface,CFRZR,,V3,both,
Categorical Rain,surface,CRAIN,,V3,both,
Surface Roughness,surface,SFCR,m,V3,both,
Frictional Velocity,surface,FRICV,m/s,V3,both,
Sensible Heat Net Flux,surface,SHTFL,W/m2,V3,both,
Latent Heat Net Flux,surface,LHTFL,W/m2,V3,both,
Vegetation,surface,VEG,%,V4,both,
Annual Maximum Vegetation Fraction,surface,MXVEG,,V4,both,
Annual Minimum Vegetation Fraction,surface,MNVEG,,V4,both,
Leaf Area Index,surface,LAI,,V4,both,
Ground Heat Flux,surface,GFLUX,W/m2,V3,both,
Vegetation Type,surface,VGTYP,,V3,both,
Convective Available Potential Energy,surface,CAPE,J/kg,V3,both,
Convective Inhibition,surface,CIN,J/kg,V3,both,
Upward Long-Wave Rad. Flux,surface,ULWRF,W/m2,V3,both,
Upward Short-Wave Rad. Flux,surface,USWRF,W/m2,V3,both,
Downward Long-Wave Rad. Flux,surface,DLWRF,W/m2,V3,both,
Downward Short-Wave Rad. Flux,surface,DSWRF,W/m2,V3,both,
Visible Beam Downward Solar Flux,surface,VBDSF,W/m2,V3,both,
Visible Diffuse Downward Solar Flux,surface,VDDSF,W/m2,V3,both,
Planetary Boundary Layer Height,surface,HPBL,m,V3,both,
"Land Cover (0=sea, 1=land)",surface,LAND,Proportion,V3,both,
Ice Cover,surface,ICEC,Proportion,V3,both,
Upward Long-Wave Rad. Flux,top_of_atmosphere,ULWRF,W/m2,V3,both,
Upward Short-Wave Rad. Flux,top_of_atmosphere,USWRF,W/m2,V3,both,
"Simulated Brightness Temperature for GOES 11, Channel 3",top_of_atmosphere,SBT113,K,V3,both,
"Simulated Brightness Temperature for GOES 11, Channel 4",top_of_atmosphere,SBT114,K,V3,both,
"Simulated Brightness Temperature for GOES 12, Channel 3",top_of_atmosphere,SBT123,K,V3,both,
"Simulated Brightness Temperature for GOES 12, Channel 4",top_of_atmosphere,SBT124,K,V3,both,
